date,used slots,sys slots
2012-08-29 17:51:00,615,2880
2012-08-29 18:51:00,1481,2880
2012-08-29 19:51:00,2045,2880
2012-08-29 20:51:00,2000,2880
2012-08-29 21:51:00,2000,2880
2012-08-29 22:51:00,2000,2880
2012-08-29 23:51:00,2000,2880
2012-08-30 00:51:00,2000,2880
2012-08-30 01:51:00,2000,2880
2012-08-30 02:51:00,2000,2880
2012-08-30 03:51:00,2000,2880
2012-08-30 04:51:00,2000,2880
2012-08-30 05:51:00,2000,2880
2012-08-30 06:51:00,2000,2880
2012-08-30 07:51:00,2000,2880
2012-08-30 08:51:00,2000,2880
2012-08-30 09:51:00,2000,2880
2012-08-30 10:51:00,2000,2880
2012-08-30 11:51:00,2000,2880
2012-08-30 12:51:00,2000,2880
2012-08-30 13:51:00,1810,2880
2012-08-30 14:51:00,1400,2880
2012-08-30 15:51:00,1652,2880
2012-08-30 16:51:00,2182,2880
2012-08-30 17:51:00,2161,2880
2012-08-30 18:51:00,2181,2880
2012-08-30 19:51:00,2601,2880
2012-08-30 20:51:00,2601,2880
2012-08-30 21:51:00,2601,2880
2012-08-30 22:51:00,2601,2880
2012-08-30 23:51:00,2601,2880
2012-08-31 00:51:00,2601,2880
2012-08-31 01:51:00,2601,2880
2012-08-31 02:51:00,2601,2880
2012-08-31 03:51:00,2601,2880
2012-08-31 04:51:00,2601,2880
2012-08-31 05:51:00,2601,2880
2012-08-31 06:51:00,2601,2880
2012-08-31 07:51:00,2601,2880
2012-08-31 08:51:00,2600,2880
2012-08-31 09:51:00,2273,2880
2012-08-31 10:51:00,2041,2880
2012-08-31 11:51:00,2001,2880
2012-08-31 12:51:00,2241,2880
2012-08-31 13:51:00,2000,2880
2012-08-31 14:51:00,2000,2880
2012-08-31 15:51:00,2015,2880
2012-08-31 16:51:00,2128,2880
2012-08-31 17:51:00,2090,2880
2012-08-31 18:51:00,1193,2880
2012-08-31 19:51:00,1200,2880
2012-08-31 20:51:00,1200,2880
2012-08-31 21:51:00,1200,2880
2012-08-31 22:51:00,1200,2880
2012-08-31 23:51:00,1200,2880
2012-09-01 00:51:00,1200,2880
2012-09-01 01:51:00,1200,2880
2012-09-01 02:51:00,1200,2880
2012-09-01 03:51:00,1200,2880
2012-09-01 04:51:00,1200,2880
2012-09-01 05:51:00,1200,2880
2012-09-01 06:51:00,1200,2880
2012-09-01 07:51:00,1200,2880
2012-09-01 08:51:00,1200,2880
2012-09-01 09:51:00,1200,2880
2012-09-01 10:51:00,1200,2880
2012-09-01 11:51:00,1200,2880
2012-09-01 12:51:00,1200,2880
2012-09-01 13:51:00,1200,2880
2012-09-01 14:51:00,1200,2880
2012-09-01 15:51:00,1200,2880
2012-09-01 16:51:00,1200,2880
2012-09-01 17:51:00,1200,2880
2012-09-01 18:51:00,1200,2880
2012-09-01 19:51:00,1200,2880
2012-09-01 20:51:00,1200,2880
2012-09-01 21:51:00,1200,2880
2012-09-01 22:51:00,1200,2880
2012-09-01 23:51:00,1200,2880
2012-09-02 00:51:00,1200,2880
2012-09-02 01:51:00,1200,2880
2012-09-02 02:51:00,1200,2880
2012-09-02 03:51:00,1200,2880
2012-09-02 04:51:00,1200,2880
2012-09-02 05:51:00,1200,2880
2012-09-02 06:51:00,1200,2880
2012-09-02 07:51:00,1200,2880
2012-09-02 08:51:00,1200,2880
2012-09-02 09:51:00,1200,2880
2012-09-02 10:51:00,1200,2880
2012-09-02 11:51:00,1200,2880
2012-09-02 12:51:00,1200,2880
2012-09-02 13:51:00,1200,2880
2012-09-02 14:51:00,1200,2880
2012-09-02 15:51:00,1200,2880
2012-09-02 16:51:00,1200,2880
2012-09-02 17:51:00,1200,2880
2012-09-02 18:51:00,1200,2880
2012-09-02 19:51:00,1200,2880
2012-09-02 20:51:00,1200,2880
2012-09-02 21:51:00,1200,2880
2012-09-02 22:51:00,1200,2880
2012-09-02 23:51:00,1200,2880
2012-09-03 00:51:00,1200,2880
2012-09-03 01:51:00,1200,2880
2012-09-03 02:51:00,1200,2880
2012-09-03 03:51:00,1200,2880
2012-09-03 04:51:00,1200,2880
2012-09-03 05:51:00,1200,2880
2012-09-03 06:51:00,1200,2880
2012-09-03 07:51:00,1200,2880
2012-09-03 08:51:00,1200,2880
2012-09-03 09:51:00,1200,2880
2012-09-03 10:51:00,1200,2880
2012-09-03 11:51:00,1200,2880
2012-09-03 12:51:00,1200,2880
2012-09-03 13:51:00,1200,2880
2012-09-03 14:51:00,1200,2880
2012-09-03 15:51:00,1281,2880
2012-09-03 16:51:00,1296,2880
2012-09-03 17:51:00,1296,2880
2012-09-03 18:51:00,1296,2880
2012-09-03 19:51:00,1296,2880
2012-09-03 20:51:00,1296,2880
2012-09-03 21:51:00,1296,2880
2012-09-03 22:51:00,1296,2880
2012-09-03 23:51:00,1296,2880
2012-09-04 00:51:00,1296,2880
2012-09-04 01:51:00,1296,2880
2012-09-04 02:51:00,1296,2880
2012-09-04 03:51:00,1296,2880
2012-09-04 04:51:00,1296,2880
2012-09-04 05:51:00,1296,2880
2012-09-04 06:51:00,1296,2880
2012-09-04 07:51:00,1296,2880
2012-09-04 08:51:00,1296,2880
2012-09-04 09:51:00,1296,2880
